,eng,Subject
14539,"The correct relation between \( S, \theta, L \) and
\( C \) for an optically active solution is:
\( \mathbf{A} \cdot S=\theta L C \)
B. \( \theta=S L C \)
\( \mathbf{c} . L=\theta S C \)
\( \mathbf{D} \cdot C=\theta L S \)",Physics
78994,"Find the number of zeroes of the
quadratic \( x^{2}+7 x+10 \) and verify the
relationship between the zeroes and the the co-efficients.",Maths
106335,"\( \int \frac{\csc ^{2} x-2005}{\cos ^{2005} x} d x \) is equal to
A. \( \frac{\cot x}{(\cos x)^{2005}}+C \)
B. \( \frac{\tan x}{(\cos x)^{2005}}+C \)
c. \( \frac{-\tan x}{(\cos x)^{2005}}+C \)
D. None of these",Maths
118348,"In a Wheatstone bridge, three resistances \( P, Q \) and \( R \) are connected in the three arms and the fourth arm is
formed by two resistances \( S_{1} \) and \( S_{2} \) connected in parallel. The condition for the bridge to be balanced will be
A \( \cdot \frac{P}{Q}=\frac{R\left(S_{1}+S_{2}\right)}{2 S_{1} S_{2}} \)
в. \( \frac{P}{Q}=\frac{R}{S_{1}+S_{2}} \)
c. \( \frac{P}{Q}=\frac{2 R}{S_{1}+S_{2}} \)
D. \( \frac{P}{Q}=\frac{R\left(S_{1}+S_{2}\right)}{S_{1} S_{2}} \)",Physics
16821,"Which of the following element is expected to have highest electron gain enthalpy:
A \( \cdot 1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{5} \)
B \( \cdot 1 s^{2} 2 s^{2} 2 p^{3} \)
c. \( 1 s^{2} 2 s^{2} 2 p^{4} \)
D \( \cdot 1 s^{2} 2 s^{2} 2 p^{5} \)",Chemistry
54164,Prove that \( \frac{\cos 9^{0}+\sin 9^{0}}{\cos 9^{0}-\sin 9^{0}}=\cot 36^{0} \),Maths
53674,"Match the appropriate pairs from Lists
and \( \|: \)
ListList - II
e) Continuous
a) Nitrogen molecule \( \quad \) spectrum
f) Absorption
b) Incandescent solids \( \quad \) spectrum
c) Fraunhofer lines
g) Band spectrum
d) Electric arc between iron
h) Emission rods \( \quad \) spectrum
\( A \cdot a-g, b-e, c-f, d-h \)
B. \( a-f, b-e, c-h, d-g \)
\( \mathbf{C} \cdot a-h, b-e, c-f, d-g \)
D. a-e, b-g, c-h, d-f",Physics
22642,"A solid sphere of radius \( R \) has moment
of inertia \( I \) about its geometrical axis. If
it is melted into a disc of radius \( r \) and
thickness \( t \). If its moment of inertia
about the tangential axis (which is perpendicular to plane of the disc), is also equal to \( I, \) then the value of \( r \) is
equal to:
A.
B.
c. \( \frac{3}{\sqrt{15}} R \)
\( D \)",Physics
46386,"Match the following:
What is and",Chemistry
54783,"Which series of reactions will achieve
the following transformation?
A \( \cdot 1:\left[l l_{2} / C C l_{4} \text { 2: } B r_{2}\right. \)
в. \( 1: H B r \) \( 2: C l_{2} / C C l \)
c. \( 1: C l_{2} / C C l_{4} \) २: \( N B S / h v \)
D. \( 1: N B S / h v \) 2: \( C l_{2} / C C l_{4} \)",Chemistry
2624,"Assertion
A galvanometer can be used as a voltmeter to measure the voltage
across a given section of the circuit.
Reason
For this it must be connected in parallel
with that section of the circuit.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics
71182,"A tension of \( 20 N \) is applied to a copper
wire of cross sectional area \( 0.01 c m^{2} \)
Young's Modulus of copper is \( 1.1 \times \)
\( 10^{11} N / m^{2} \) and Poisson's ratio is 0.32
The decrease in cross sectional area of
the wire is:
\( \mathbf{A} \cdot 1.16 \times 10^{-6} \mathrm{cm}^{2} \)
В. \( 1.16 \times 10^{-5} \mathrm{m}^{2} \)
c. \( 1.16 \times 10^{-4} m^{2} \)
D. \( 1.16 \times 10^{-3} \mathrm{cm}^{2} \)",Physics
37648,"A steel ball of diameter \( \boldsymbol{d}=\mathbf{3 . 0} \boldsymbol{m m} \)
starts sinking with zero initial velocity in olive oil whose viscosity is \( \eta= \)
\( 0.90 P . \) How soon after the beginning of
motion will the velocity of the ball differ from the steady-state velocity by \( \boldsymbol{\eta}=\mathbf{1 . 0 \%} ? \)",Physics
97055,"The work done to transport \( 20 C \) charge
from points \( A \) to another point \( B \) over distance of \( 0.2 m \) is 2 joule The
potential difference across \( A B \) is
A \( \cdot 2 \times 10^{-2} V \)
В. \( 4 \times 10^{-1} \mathrm{V} \)
c. \( 1 \times 10^{-1} \mathrm{V} \)
D. 10V",Physics
44418,"The volume of \( 20 V-H_{2} O_{2} \) solution
required to prepare 5 litres of oxygen at
STP is:
A . \( 125 \mathrm{ml} \)
B. 250 m1
c. \( 100 \mathrm{ml} \)
D. \( 50 \mathrm{m} \)",Chemistry
7873,"Number of moles of \( K_{2} C r_{2} O_{7} \) require
to reduce one mole of \( S n^{2+} \) ions is
\( A \cdot 1 / 3 \)
B. 3
\( c \cdot 1 / 6 \)
D. 6",Chemistry
64224,"Which of the following reaction is correct for gaseous and reversible
reaction?
A \( \cdot \frac{K_{p}}{K_{c}}=(R T)^{\Delta n_{g}} \)
в. \( \frac{K_{p}}{K_{x}}=(p)^{\Delta n_{9}} \)
c. \( \frac{K_{C}}{K_{x}}=(p)^{-\Delta n_{g}} \)
D. None of the above",Chemistry
94159,"A coffee cup calorimeter initially contains
\( 125 g \) of water at a temperature of \( 24.2^{0} C \)
After (10.5gm) is added to the water at the
same temperature, the final temperature becomes \( 21.1^{0} \mathrm{C} \). The heat of solution is:
\( A \cdot 85 J / g \)
B. 110 J/g
c. 270 J/g
D. 167 J/g",Chemistry
30506,"The value of the determinant
\( \left|\begin{array}{ccc}5 & 5 & 14 \\ ^{5} C_{1} & ^{5} C_{4} & 1 \\ ^{5} C_{2} & ^{5} C_{5} & 1\end{array}\right| \) is
\( \mathbf{A} \cdot \mathbf{0} \)
B. -576
c. 80
D. none of these",Maths
80982,"A racing motorboat speeds up in a straight line in a take, from rest.
Referring to the acceleration-
displacement graph for the speeding boat, find its speed when it passes a
raft at a distance of \( 40 \mathrm{m} \) from the
starting point.",Physics
13026,"The volume of 0.5 moles of a gas at 273
\( \mathrm{K} \) and \( 380 \mathrm{mm} \) pressure is:
A . 11.2 lit
B. 22.4 litt
c. 2.24 lit
D. 1.12 litt",Chemistry
970,"Which of the following will not increase voltage in a simple generator?
A. Increasing the number of turns in armature coil
B. Winding the coil on a soft armature
c. Increasing the size of the gap in which the armature turns
D. Increasing the speed of rotation.",Physics
7516,"Consider the following graph and mark
the correct statement.
A. Chemical equilibrium in the reaction. \( H_{2}+I_{2} \rightleftharpoons 2 H I \) can be attained from either directions
3. Equilibrium can be obtained when \( H_{2} \) and \( I_{2} \) are mixed
an open vessel
C. The concentrations of \( H_{2} \) and \( I_{2} \) keep decreasing while concentration of \( H I \) keeps increasing with time.
D. We can find out equilibrium concentration of \( H_{2} \) and
\( I_{2} \) from the given graph",Chemistry
4615,"If \( \boldsymbol{A}=\int_{0}^{\pi} \frac{\cos \boldsymbol{x}}{(\boldsymbol{x}+\mathbf{2})^{2}} \boldsymbol{d} \boldsymbol{x}, \) then
\( \int_{0}^{\frac{\pi}{2}} \frac{\sin 2 x}{(x+1)} d x \) is equal to
A \( \cdot \frac{1}{2}+\frac{1}{\pi+2}-A \)
B. \( \frac{1}{\pi+2}-A \)
\( c \cdot 1+\frac{1}{\pi+2}-A \)
D. \( _{A-} \frac{1}{2}-\frac{1}{\pi+2} \)",Maths
61614,"If \( D_{30} \) is the set of all divisors of
\( \mathbf{3 0}, \boldsymbol{x}, \boldsymbol{y} \boldsymbol{\epsilon} \boldsymbol{D}_{30}, \) we define \( \boldsymbol{x}+\boldsymbol{y}= \)
\( \boldsymbol{L} \boldsymbol{C} \boldsymbol{M}(\boldsymbol{x}, \boldsymbol{y}), \boldsymbol{x} \cdot \boldsymbol{y}=\boldsymbol{G} \boldsymbol{C} \boldsymbol{D}(\boldsymbol{x}, \boldsymbol{y}), \boldsymbol{x}^{\prime}= \)
\( \frac{30}{x} \) and \( f(x, y, z)=(x+y) \cdot\left(y^{\prime}+z\right) \)
then \( f(2,5,15) \) is equal to
A .2
B. 5
c. 10
D. 15",Maths
121155,"Write short note on the functions of the
thyroid hormones.",Biology
52159,"The complete range of values of \( ^{\prime} a^{\prime} \) such that \( \left(\frac{1}{2}\right)^{|x|}=x^{2}-a \) is satisfied for maximum number of values of \( \boldsymbol{x} \) is
B \( \cdot(-\infty, \infty) \)
c. (-1,1)
D. \( (-1, \infty) \)",Maths
5928,"State True or False.
The salt bridge permits movement of charge and mixing of the solution.
A. True
B. False",Chemistry
54815,"Fill in the blank.
\( 13+_{-1}-\dots \)",Maths
101022,"A zygote which has inherited a \( Y \) chromosome from the father will
develop into
\( A \cdot A \) boy
B. A girl
c. Anyone of the above
D. None of the above",Biology
111550,"A convex lens of focal length \( 40 \mathrm{cm} \) is in contact with a concave lens of focal
length \( 25 \mathrm{cm} . \) The power of the
combination is:
A . - 6.5 \( \mathrm{D} \)
\( B .+6.5 D \)
\( c \cdot+6.67 \)
D . - 1.5 D",Physics
86590,Find the multiplicative inverse of: \( \frac{2-\sqrt{3}}{2+\sqrt{3}} \),Maths
111856,"Joint between femur and acetabulum is
Known as
A. Hinge joint
B. Saddle joint
c. Gliding joint
D. Ball and socket joint",Biology
15661,"Which of the following is chloroprene?
\( \mathbf{A} \cdot C H_{2}=C H-C H=C H_{2} \)
B.
\[
\begin{array}{c}
C H_{2}=C-C H=C H_{2} \\
C_{1}
\end{array}
\]
\( c \)
\[
C H_{3}-C=C=C H_{2}
\]
\[
C l
\]
D.
\[
C H_{3}-C=C H_{2}-C H_{3}
\]
\( C \)",Chemistry
119280,"A compound having the empirical
formula \( C_{3} H_{4} O, \) has a molecular
weight of \( 170 \pm 5 . \) The molecular
formula of the compound is:
A. \( C_{3} H_{4} O \)
в. \( C_{6} H_{8} O_{2} \)
\( \mathbf{c} \cdot C_{6} H_{12} O_{3} \)
D. \( C_{9} H_{12} O_{3} \)",Chemistry
90600,"In Krebs cycle, the Hydrogen atoms removed at succinate level are
accepted by
A. FAD
B. ADP
c. Атр
D. NAD",Biology
32880,"A molecule with a dipole moment p is placed in electric field of strength E. Initially the dipole is aligned parallel to the field. If the dipole is to be rotated to be anti parallel to the field, the work required to be done by an external agency is
A . - 2pE
B . -pE
c. pE
D. 2pE",Physics
95513,"Find the value of \( \cos ^{-1}\left(\cos \frac{2 \pi}{3}\right)+ \)
\( \sin ^{-1}\left(\sin \frac{2 \pi}{3}\right) \)",Maths
1137,"A galvanometer coil \( 5 \mathrm{cm} \times 2 \mathrm{cm} \) with 200 turns is suspended vertically in a field of \( 5 \times 10^{-2} \) T.The suspension fibre
needs a torque of \( 0.125 \times 10^{-7} N-m \)
to twist it through one radian. If \( i \) is the
strength of the current required to be maintained in the coil when we require
a deflection of \( 6^{\circ} \) then find \( x \) such that
\( \boldsymbol{x}=\boldsymbol{i} \times \mathbf{1 0}^{8} \)",Physics
75648,"In which of the following complexes
more than one type of structural isomerism is possible? This question has multiple correct options
\( \mathbf{A} \cdot\left[\operatorname{Co}\left(N H_{3}\right)_{5}\left(N O_{2}\right)\right] C l \)
B . \( \left[\operatorname{Co}\left(N H_{3}\right)_{5}\left(H_{2} O\right)\right]\left(N O_{2}\right)_{3} \)
\( \mathbf{c} \cdot\left[P t\left(N H_{3}\right)_{4}\right]\left[P t(S C N)_{4}\right] \)
\( \mathbf{D} \cdot\left[C r(D M G)_{3}\right] \)",Chemistry
6384,"Chilli is
A. Solanum melongena
B. Atropa acuminata
C . Capsicum annuum
D. Physalis peruviana",Biology
61109,"System in which there is no exchange of matter, work or energy from surroundings is:
A . closed
B. adiabatic
c. isolated
D. isothermal",Chemistry
88608,"Select the correct IUPAC name for \( \left[\left(\mathrm{NH}_{3}\right.\right. \)
\( \left.\mathrm{T}_{4} \mathrm{Co}(\mathrm{OH})\left(\mathrm{NH}_{2}\right) \mathrm{Co}\left(\mathrm{NH}_{3}\right)_{4}\right]^{4+} \)
A. \( \mu \text { -Amido- } \mu \text { -hydroxidobis (tetraammine cobalt }(4+)) \)
in
B. \( \mu \) -Amido- \( \mu \) -hydroxidobis (tetraarnmine cobalt(III)) ion
c. \( \mu \) -t-Amido- \( \mu \) -hydroxidobis (tetraarnmine cobaltate
\( (4+)) \) ion
D. \( \mu \) -Amido- \( \mu \) -hydroxidobis (tetraarnmine cobaltate (III))) ion",Chemistry
28865,"Why does the flow of acid rain water
into a river make the survival of aquatic life in the river difficult??",Chemistry
12107,Carbon monoxide gas is more dangerous than carbon dioxide gas. Why?,Chemistry
114743,"Water rises to a height of \( 10 \mathrm{cm} \) in a
capillary tube and mercury falls to a depth of the same capillary tube. If the density of water is \( 1 \mathrm{gm} / \mathrm{c} . \mathrm{c} \) and its
angle of contact is \( 0^{\circ}, \) then the ratio of
such of two liquids is \( \left(\cos 135^{\circ}=0.7\right) \)",Physics
22380,"The modern periodic table has been evolved through the early attempts of Dobereiner, Newland and Mendeleev.
List one advantage and one limitation of all the three attempts.",Chemistry
15171,"A wheel starts from the rest and attains
an angular velocity of 20 radian/s after being uniformly accelerated for 10 s.The
total angle in radian through which it has turned in 10 second is
A \( .20 \pi \)
в. \( 40 \pi \)
\( c .100 \)
D. \( 100 \pi \)",Physics
97886,"A compound microscope has an objective of focal length \( 1 \mathrm{cm} \) and an
eyepiece of \( 4 \mathrm{cm} . \) If the tube length is 20 \( \mathrm{cm} . \) Then the magnification of the compound microscope is : (final image is at D
A . 145
B. 14.5
\( c \cdot 1.45 \)
D. None of these",Physics
40981,"State true or false.
\( \sqrt{3}+\sqrt{4} \) is an rational number.
A. True
B. False",Maths
16525,"Assertion
The common name of Exocetus is flying
fish.
Reason
Exocetus has wing like pectoral fins.
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Biology
104771,"According to Werner's theory the primary valency and secondary valency in complex \( \left[\mathrm{Co}\left(\mathrm{NH}_{3}\right)_{4} \mathrm{Cl}_{2}\right] \mathrm{Cl} \) is
respectively:
\( A \cdot 3,3 \)
B. 3,6
\( c \cdot 6,3 \)
\( D \cdot 4,2 \)",Chemistry
28700,"Which equation represents the line that
passes through the point (2,1) and is parallel to the \( x \) -axis?
A. \( y=2 \)
B. \( y=1 \)
\( \mathbf{c} \cdot x=1 \)
D. \( x=2 \)",Maths
52243,"A cricketer hits 120 runs in 150 balls
during a test match. \( 20 \% \) of the runs came in \( 6 s, 30 \% \) in \( 4 s, 25 \% \) in \( 2 s \) and
the rest in singles. How many runs did he score in singles?
A . 16
B. 4
c. 20
D. 30",Maths
342,"Succession on sand dune is
A. Lithosere
B. Psychrosere
c. Psammosere
D. Halosere",Biology
82169,"If for a continuous function \( \boldsymbol{f}, \boldsymbol{f}(\mathbf{0})= \)
\( \boldsymbol{f}(1)=\mathbf{0}, \boldsymbol{f}^{\prime}(1)=\mathbf{2} \) and \( \boldsymbol{g}(\boldsymbol{x})= \)
\( f\left(e^{x}\right) e^{f(x)}, \) then \( g^{\prime}(0) \) is equal to
A . 1
B. 2
\( c \cdot 0 \)
D. None of these",Maths
15216,"A ball of radius R carries a positive charge whose volume charge density depends only on the distance r from the ball's centre as: \( \rho=\rho_{0}\left(1-\frac{r}{R}\right) \) where
\( \rho_{0} \) is constant. Assume \( \epsilon \) as the
permittivity of the ball.
Then the magnitude of the electric field as a function of the distance r outside
the ball is given by :
A. \( \quad E=\frac{\rho_{0} R^{3}}{8 \epsilon r^{2}} \)
в. \( \quad E=\frac{\rho_{0} R^{3}}{12 r r^{2}} \)
c. \( _{E=\frac{\rho_{0} R^{3}}{16 \epsilon^{2}}} \)
D. \( \quad E=\frac{\rho_{0} R^{3}}{24 r^{2}} \)",Physics
116388,"Trans \( -1,2- \) dibromo \( -1- \)
methylcyclohexane.
\( A \)",Chemistry
76530,"Pulp cavity of teeth is lined by
A. Odontoblast
B. chondroblast
c. osteoblast
D. Amyloblast",Biology
78767,"The correct order of basic strength of
the following are:
\( \mathbf{1} \)
2
3
4.
A \( .1>2> \)
в. \( 4>2>3>1 \)
c. \( 3>4>2>1 \)
D. \( 3>2>4>1 \)",Chemistry
113238,"Through which mode of transfer, we receive heat from burning wood?
A. Convection
B. Conduction
c. Radiation
D. None",Physics
28439,"Find mode for given data:
\( \begin{array}{lllll}\text { Class } & 20- & 30- & 40- & 50- \\ 29 & 39 & 49 & 59 \\ \text { Frequency } & 15 & 20 & 50 & 30\end{array} \)",Maths
6063,"Primary coil of a step-up transformer
has number of turns than
secondary coil.
A. more
B. less
c. same
D. cant say",Physics
43444,"\( N_{2}(g)+3 H_{2}(g) \stackrel{F e+M o}{\rightleftharpoons} 2 N H_{3}(g) \)
Haber's process. Mo is used as:
A. a catalyst
B. a catalytic promoter
c. an oxidising agent
D. a catalytic poison",Chemistry
82046,"Obtain an expression for equivalent capacitance \( C, \) when three capacitors
having capacitance \( C_{1}, C_{2} \) and \( C_{3} \) are connected m series.",Physics
12530,"1 L of a solution containing 10 g of
\( C u S O_{4} \) is to be electroyzed by a current strength of 48.25 A for 200 s. The weight of the final solution and pH of the
solution at the end of electrolysis are :
(assume that the volume remains
constant during electrolysis)
A. \( 6.825 g, p H=1 \)
в. \( 6.325 g, p H=10 \)
c. \( 6.795 g, p H=7 \)
D. none of the above",Chemistry
73159,"ff \( i^{2}=-1 \), then the value of \( \sum_{n=1}^{200} i^{n} \) is
A . 50
B. - -50
\( c \cdot 0 \)
D. 100",Maths
113102,"If \( \tan ^{-1} 2 x+\tan ^{-1} 3 x=\frac{\pi}{4}, \) Then \( x \) is
equal to
A. -1
в. \( \frac{1}{6} \)
c. \( _{-1, \frac{1}{6}} \)
D.",Maths
72862,"For a \( 3 \times 3 \) matrix \( A, \) if det \( A=4, \) then det
(Adj. A) equals
A . -4
B. 4
c. 16
D. 64",Maths
61795,"The existence of isotopes is due to the presence of different number of
A. electrons
B. protons
c. neutrons
D. atoms",Physics
114216,"Two samples \( A \) and \( B \) of same radioactive nuclide are prepared Sample A has twice the initial activity of sample B. For this situation, mark out the correct statement(s):
This question has multiple correct options
A. The half-lives of both the samples would be same
B. The half-lives of the samples are different
C. After each has passed through 5 half-lives, the ratio of activity of A to B is 2:
D. After each has passed through 5 half-lives, ratio of activities of A to B is 64:",Physics
61123,"Keeping the pressure constant, the volume of a given mass of any gas increases or decreases by \( \frac{1}{273} \) of its
volume at \( \boldsymbol{O}^{\circ} \boldsymbol{C} \) for each \( \mathbf{1}^{\circ} \) rise in
temperature. This law is known as:
A. Boyle's law
B. Charles's law
c. Gay-lussac's law
D. None of the above",Chemistry
12227,"Which of the following combination of properties would be most desirable for a
cooking pot?
A. High specific heat and low conductivity
B. Low specific heat and high conductivity
c. High specific heat and high conductivity
D. Low specific heat and low conductivity",Physics
99332,"Which of the following present in the soil is most helpful to the growth of plants?
A. Humus
B. Sand
c. clay
D. small porous rocks",Biology
11174,"An object of \( 5 \mathrm{cm} \) is placed before a concave mirror at a distance of \( 40 \mathrm{cm} \)
If its focal length is \( 20 \mathrm{cm} \) then what is the magnification of the image.
A . 40
B. 20
c. 5
D. -",Physics
